TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
120.232925170,-194.261,27.824,-15.4881,10.3245,5.65099,8.2001,-6.27223,0.967654,8.01459,5.04666,3.4197,6.81068,-2.06043,0.245078,0.788929,-3.23797,-0.679531,-0.87296,1.05615,-0.602321,3.2953
120.256145125,-183.215,22.4759,-16.4358,7.38214,6.76149,7.56879,-9.4869,2.06415,10.3159,3.65991,3.254,5.53346,-3.30029,-1.57229,3.40073,0.0783572,-0.635564,-3.65495,-0.422459,3.14303,3.4491
120.279365079,-174.567,21.7027,-18.2317,3.89913,7.155,8.48316,-9.62522,2.50461,9.16147,7.11816,3.90902,7.70374,-3.01557,-3.84725,3.22163,1.2891,-2.1096,-1.28333,-0.28336,-0.0208188,3.72945
120.302585034,-171.681,22.7131,-18.9391,4.80345,6.53547,9.79977,-7.12864,2.56313,5.94065,5.34772,3.55417,10.5491,-0.90194,-2.94997,-0.207124,-0.94982,-3.1749,-3.25367,1.09232,1.96055,3.32209
120.325804989,-178.531,24.9298,-15.8634,5.92523,6.87507,7.20522,-10.283,-0.162694,6.28188,5.25205,2.48517,8.34602,-4.22678,-3.39401,1.20645,1.47063,-1.62015,-0.780202,1.83433,1.89518,5.28931
120.349024943,-182.471,26.1957,-17.6904,6.95909,5.61038,7.79308,-4.12505,2.58242,4.98631,2.09556,1.83252,9.48125,-2.20292,-4.97557,1.33358,2.4136,0.847628,-1.19214,0.617017,-0.937985,3.74912
120.372244898,-104.197,2.88069,1.30192,1.37625,1.26688,2.55676,-2.59371,0.314773,-0.439591,2.184,2.01868,0.556221,-2.35643,-2.31925,-1.23396,0.336128,0.0172373,-1.91748,-2.22496,-1.15532,0.222404
120.395464853,-111.92,-2.89059,-1.43603,1.79882,-1.16663,3.1388,-4.61641,0.639229,0.133167,0.315547,0.714406,0.963603,-1.38927,-2.56224,0.593375,-0.834938,-1.36146,0.170764,1.29532,0.748426,0.943664
120.418684807,-141.036,-2.93839,2.08163,1.17756,-1.57409,3.8202,-3.35002,1.36089,-0.194077,1.33177,3.4941,4.90131,2.52219,2.10409,0.591475,0.200593,-0.37851,-1.82392,-2.12847,-0.36972,1.02816
120.441904762,-173.763,4.17882,6.90876,9.804,0.960671,3.63514,-3.59858,3.83279,1.49102,4.73435,1.78502,3.14437,-0.166517,-1.31181,-0.816167,1.54486,1.99685,-1.17486,-1.33137,-1.51321,-2.71797
120.465124717,-228.598,28.3826,3.94044,8.12879,6.36574,7.61452,-4.31595,2.98879,3.21342,2.76527,1.2654,5.3439,3.14203,1.66826,0.945992,-3.4574,-3.58419,-0.943697,0.41473,-1.63803,0.190041
120.488344671,-219.709,32.1979,2.68285,9.44315,-2.46664,5.76717,-7.22428,2.85658,6.40721,7.07553,-2.12255,1.48158,0.824441,-1.02847,1.84563,1.84703,-0.667584,-0.9393,-1.60915,-1.87999,-1.54972
