TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
2.925714286,0,0.708372,1.59405,0.298312,0.00841102,1.78064,1.03274,0.0348136,0,1.20193,0.899372,0.138584
2.972154195,0,0.732724,2.45919,0.142007,0.0148861,2.12242,0.718557,0.00168678,0.0013766,1.49946,1.14489,0
3.018594104,0,0.635185,2.84108,0.0148132,0.0209068,2.32993,0.26473,0.00708461,0.00811575,1.70456,1.22124,0
3.065034014,0.0033952,0.482082,3.00732,0.0127068,0.0250609,2.44119,0.174171,0.00801878,0.00619837,1.88285,0.992026,0
3.111473923,0,0.364967,3.10112,0.0110626,0.0273281,2.63675,0.202094,0,0.0357112,1.98709,0.787532,0
3.157913832,0,0.308191,2.9599,0.0122189,0.0302135,2.43623,0.125029,0,0.0692648,2.20086,0.819586,0
3.204353741,0.0120465,0.406364,2.53975,0.029366,0.0986663,2.00112,0.280226,0.281238,0.0893658,2.3825,0.336763,0.068722
3.250793651,0.637543,0.150769,1.65859,0.0645001,0.69811,0.812687,0.987283,0.034508,0.620682,0.92361,0.774221,0.651792
3.297233560,0.944572,0.0989759,1.61436,0.147786,0.686937,0.662495,1.04848,0.00323042,0.814816,0.766446,0.649773,1.149
3.343673469,1.07496,0.121423,1.38818,0.164055,0.623732,0.944975,1.00126,0.00523483,0.439211,1.13549,0.505619,1.2017
3.390113379,1.07175,0.00841459,1.22468,0.0872743,0.543153,1.23688,0.894139,0.0062004,0.293329,1.53998,0.520011,1.05647
3.436553288,0.972646,0.00198229,1.45572,0.0427214,0.429865,1.59425,0.759269,0.00583606,0.311014,2.01962,0.362331,0.764124
3.482993197,0.640948,0.00091864,1.77594,0.0687265,0.322613,1.94829,0.497582,0.00337011,0.313287,2.295,0.255902,0.677956
3.529433107,0.271078,0.101981,2.29654,0.141373,0.33527,2.21576,0.282473,0.0478537,0.384071,1.92281,0.368132,0.319031
3.575873016,0.131346,0.18179,2.30927,0.406725,0.346923,2.57866,0.199743,0.0518935,0.323867,1.94287,0.628123,0.0717131
3.622312925,0.25365,0.116135,2.01631,0.829662,0.106584,1.26334,0.684254,0,0.340785,1.9283,0.233117,0
3.668752834,0.397391,0.0989421,1.33134,1.29737,0.311988,0.748384,0.639423,0,1.14499,1.74164,0.0558869,0
3.715192744,0.31531,0.0411159,1.35921,1.42979,0.26903,0.543184,0.508352,0,2.30472,1.39787,0.0538917,0
3.761632653,0.265866,0.0662665,1.34349,1.72347,0.194681,0.320786,0.289733,0,2.81883,0.852802,0.0694907,2.42459e-06
3.808072562,0.286682,0.14189,1.18469,1.90431,0.150942,0.083516,0.0765205,0.0139887,2.4752,0.619025,0.0888338,0.0116036
3.854512472,0.328005,0.131528,0.651034,1.90797,0.180148,0.0325984,0.0329167,0.0458399,2.49701,0.657189,0.142912,0.0437601
3.900952381,0.891926,0.0927824,0.389335,2.08055,0.263368,0.0925566,0.285894,0.0208618,2.02451,0.335334,0.571649,0.111815
3.947392290,0.895791,0.110178,0.475248,2.03971,0.377163,0.308806,0.825617,0.554066,1.04639,0.115611,0.652549,0.306825
3.993832200,0.697148,0.430927,0.817585,1.94242,0.256805,0.872409,1.06043,0.948914,0.285134,0.810846,0.531555,0.207788
4.040272109,0.187486,0.828782,0.791059,0.896167,0.60835,1.19462,0.535435,1.28745,0.140403,1.32215,0.424948,0.0226294
4.086712018,0.00174656,0.643175,0.824679,0.478339,1.82619,0.487551,0.0567481,0.877764,0.175606,2.70233,0.342422,0.000131432
4.133151927,0,0.481547,0.846064,0.0701207,2.16252,0.305981,0.331274,0.3037,0.0784787,2.86455,0.261082,0.0244743
