TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
157.872471655,-175.356,26.1082,-16.4069,9.34753,2.89315,-0.813919,-0.0903517,2.53276,1.9775,-0.677959,-0.0646265,-1.08367,-2.13881,-0.517473,-1.68026,-0.44596,2.83376,0.769851,-1.16466,1.67727,0.0277253
157.895691610,-188.625,26.4809,-9.50173,12.4058,2.38611,-1.38519,-0.0286359,0.65247,-0.725751,1.23202,-0.504206,2.0313,0.545346,1.25822,0.860329,1.18546,1.44016,0.41468,0.0487065,-1.0151,-1.30584
157.918911565,-205.63,29.8343,-10.3436,8.46303,-0.0427446,-1.152,0.397181,7.76633,3.12149,3.34536,1.47247,1.56843,2.05409,1.06445,-0.0435234,0.0788073,3.15816,0.404063,-2.50214,-1.89803,-2.51055
157.942131519,-219.65,34.0342,-7.86679,10.013,-1.16315,-0.395791,1.91582,6.13907,2.28292,2.36818,0.266591,0.304058,-0.815982,-1.73589,-0.11087,0.557563,2.23499,2.63732,-0.308203,-0.504287,0.451485
157.965351474,-231.159,35.8307,-2.67719,8.2179,-2.48394,0.124691,1.03236,3.67975,3.56141,2.20784,-0.182738,1.40675,-2.20882,-0.417393,1.52431,2.74262,2.388,3.02916,-1.92088,-0.587817,-0.0453041
157.988571429,-248.539,32.95,-6.38015,8.34208,-1.02884,3.23223,4.71873,7.96597,3.10177,3.53962,2.89677,0.7284,-1.08861,-1.35006,0.284236,2.76831,3.86784,4.55649,0.570282,-1.9807,-2.34495
158.011791383,-254.743,36.5466,-2.30093,8.47312,-0.875853,1.83706,1.64334,5.43557,1.2264,4.48376,3.24704,2.05216,-1.43346,0.155309,1.02672,4.01521,3.65423,0.27945,0.00345165,-1.74914,-1.13898
158.035011338,-264.251,36.437,-2.88074,9.86291,1.23547,2.24138,3.54509,8.41689,1.96582,4.58361,3.0353,0.56834,-0.19878,-1.68482,-0.618103,3.96426,4.02498,1.17593,0.417152,-3.20027,-2.32919
158.058231293,-268.135,38.1209,-3.1495,12.0806,-0.538616,2.5823,4.48265,5.74631,1.82773,4.22823,1.81395,0.263158,-0.136329,1.62354,1.84506,3.09891,2.72381,2.16344,0.193651,-1.67482,-0.326502
158.081451247,-253.133,39.2707,-1.0684,5.50935,-8.12463,1.36645,1.12884,8.30472,0.299687,4.81684,1.24601,8.1792,4.1566,3.46749,2.3291,-0.406033,-1.0804,-0.988507,1.03753,0.533881,-1.74455
