"Track.URI","Track.Name","Album.Name","Artist.Name.s.","Release.Date","Duration..ms.","Popularity","Explicit","Added.By","Added.At","Genres","Record.Label","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time.Signature","region","highlight"
"spotify:track:5UQOmTylBEdsIfSn37v3DO","Straight Up Menace","The Best of MC Eiht","MC Eiht","2010-09-21",274306,0,"true","warriorkid3000","2021-09-29T03:55:10Z","west coast hiphop,g funk,gangsterrap","Legacy Recordings",0.756,0.53,7,-9.639,1,0.142,0.00138,0.00701,0.323,0.524,79.855,4,"west","no"
"spotify:track:1pOIpxfrQ8AszXZdKR3aH3","Gangsta Gangsta","Straight Outta Compton","N.W.A.","1988-08-08",336917,63,"true","warriorkid3000","2021-09-29T03:55:17Z","old school hiphop,gangsterrap,west coast hiphop,hiphop,rap,g funk","Priority Records",0.894,0.698,6,-8.264,0,0.275,0.0279,3.56e-06,0.329,0.695,98.104,4,"west","no"
"spotify:track:63BokRfXSQhEU6Qi2dSJpZ","Mind Playing Tricks on Me","We Can't Be Stopped","Geto Boys","1991-07-02",308733,4,"true","warriorkid3000","2021-09-29T03:55:25Z","old school hiphop,dirty south rap,gangsterrap,g funk,hardcore hiphop,horrorcore","Rap-A-Lot Records",0.886,0.512,10,-11.825,0,0.237,0.207,0,0.0991,0.454,93.997,4,"west","no"
"spotify:track:2rwmKpWW6o6anOhvcyiJOw","Nothin' But The Cavi Hit","Best Of Mack 10","Mack 10;Tha Dogg Pound","2007-01-01",241360,54,"true","warriorkid3000","2021-09-29T03:55:30Z","g funk,west coast hiphop,gangsterrap,old school hiphop","Priority Records",0.852,0.741,1,-5.435,0,0.134,0.0247,0.00106,0.0974,0.535,97.894,4,"west","no"
"spotify:track:1dF5Y2dd7Wm4wZKvVjWBpr","1st of Tha Month","E. 1999 Eternal","Bone Thugs-N-Harmony","1995-07-25",314680,65,"true","warriorkid3000","2021-09-29T03:56:47Z","gangsterrap,old school hiphop,g funk","Ruthless Records",0.729,0.581,5,-8.235,0,0.18,0.0777,3.81e-06,0.696,0.508,74.038,4,"west","no"
"spotify:track:76Ceb3pvgGsZb40pSIrSMH","The Murda Show (with MC Eiht)","Best Of Spice 1","Spice 1;MC Eiht","1998-10-29",267706,41,"true","warriorkid3000","2021-09-29T03:56:52Z","west coast hiphop,g funk,gangsterrap,old school hiphop","Jive",0.761,0.721,11,-6.91,0,0.264,0.00523,0.0277,0.0768,0.789,89.858,4,"west","no"
"spotify:track:2Vpj5colB0MPy3Zg5SITEC","Bow Down","Bow Down","Westside Connection","1996-10-22",206826,59,"true","warriorkid3000","2021-09-29T03:56:56Z","west coast hiphop,g funk,gangsterrap,old school hiphop","Priority Records",0.897,0.458,9,-11.01,1,0.279,0.0208,0,0.419,0.513,92.928,4,"west","no"
"spotify:track:287tdUcso07UAu5jxXB2BQ","Afro Puffs","Above The Rim","The Lady Of Rage","2001",288333,0,"true","warriorkid3000","2021-09-29T03:57:03Z","g funk,west coast hiphop,old school hiphop,gangsterrap","Death Row Records",0.799,0.876,10,-3.661,0,0.242,0.0424,1.08e-06,0.308,0.525,91.35,4,"west","no"
"spotify:track:679RG1vQ3m1liChyglObX9","We Roll Deep","Ear To The Street","The Conscious Daughters","1993-11-30",260893,46,"true","warriorkid3000","2021-09-29T03:57:20Z","g funk,west coast hiphop,old school hiphop","Guerrilla Funk Recordings",0.742,0.878,1,-7.1,1,0.252,0.191,0,0.088,0.789,83.691,4,"west","no"
"spotify:track:4ixD6bSwnSlzuBrd2c80vI","Captain Save A Hoe","The Mail Man (Original Master Peace)","E-40;The Click;Suga T;D-Shott;B-Legit","1993",288297,61,"true","warriorkid3000","2021-09-29T03:57:26Z","hyphy,west coast hiphop,g funk,old school hiphop","Sick Wid It",0.8,0.336,7,-19.552,1,0.252,0.0579,0,0.223,0.538,82.996,4,"west","no"
"spotify:track:2ImuQo1g14CTR9hZAZD3aQ","This D.J.","Regulate… G Funk Era","Warren G;O.G.L.B.","1994-06-07",203026,65,"true","warriorkid3000","2021-09-29T03:57:37Z","g funk,west coast hiphop,old school hiphop,gangsterrap","Island Records",0.804,0.443,6,-10.268,0,0.134,0.0312,0.0225,0.112,0.58,92.035,4,"west","no"
"spotify:track:623SXRZfjnTnvCAM0CT1CP","Played Like A Piano","At Your Own Risk","King Tee;Ice Cube;Breeze","1990-10-02",299026,49,"true","warriorkid3000","2021-09-29T03:57:43Z","g funk,west coast hiphop,old school hiphop,gangsterrap,hiphop,happy hardcore","Capitol Records",0.902,0.534,11,-13.823,0,0.272,0.0171,0,0.0665,0.657,90.367,4,"west","no"
"spotify:track:1ei4Cg4zYN2y17CAvjETSM","So You Want to Be a Gangster","Shorty The Pimp","Too $hort","1992-07-14",244506,49,"true","warriorkid3000","2021-09-29T03:57:51Z","hyphy,west coast hiphop,g funk,old school hiphop,gangsterrap","Jive",0.687,0.373,2,-13.988,1,0.101,0.000186,0.0117,0.325,0.495,110.504,5,"west","no"
"spotify:track:5xEm63lXBhJKZgjRDMWH3H","Dollaz + Sense","Safe + Sound","DJ Quik","1995",352906,55,"true","warriorkid3000","2021-09-29T03:57:56Z","g funk,west coast hiphop,old school hiphop,gangsterrap","Arista",0.833,0.64,10,-5.674,0,0.22,0.0184,0,0.102,0.465,99.285,4,"west","no"
"spotify:track:3NGT0Td7H4Is1qrlDQJxma","Check Yo Self - Remix","Bootlegs And B-Sides","Ice Cube;Das EFX","1994-11-22",273106,68,"true","warriorkid3000","2021-09-29T05:56:07Z","old school hiphop,gangsterrap,west coast hiphop,g funk,hiphop,east coast hiphop,hardcore hiphop,boombap","Priority Records",0.934,0.735,1,-6.668,1,0.251,0.031,8.6e-06,0.107,0.768,101.368,4,"west","no"
