Track URI,Track Name,Album Name,Artist_Name,Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,region
spotify:track:6Tsu3OsuMz4KEGKbOYd6A0,Hypnotize - 2007 Remaster,Greatest Hits,The Notorious B.I.G.,2007-03-02,230000,71,TRUE,warriorkid3000,2021-09-29T03:44:23Z,"old school hiphop,gangsterrap,east coast hiphop,hiphop",Bad Boy Records,0.895,0.694,9,-4.384,1,0.275,0.176,0,0.292,0.632,93.944,4,east
spotify:track:2g8HN35AnVGIk7B8yMucww,Big Poppa - 2005 Remaster,Ready to Die (The Remaster),The Notorious B.I.G.,1994-09-13,252746,81,TRUE,warriorkid3000,2021-09-29T03:38:52Z,"old school hiphop,gangsterrap,east coast hiphop,hiphop",Bad Boy Records,0.78,0.575,9,-7.247,0,0.273,0.43,0,0.143,0.773,84.492,4,east
spotify:track:2g8HN35AnVGIk7B8yMucww,Big Poppa - 2005 Remaster,Ready to Die (The Remaster),The Notorious B.I.G.,1994-09-13,252746,81,TRUE,m-airon,2019-04-04T23:52:24Z,"old school hiphop,gangsterrap,east coast hiphop,hiphop",Bad Boy Records,0.78,0.575,9,-7.247,0,0.273,0.43,0,0.143,0.773,84.492,4,east
spotify:track:7N1Vjtzr1lmmCW9iasQ8YO,Survival of the Fittest,The Infamous,Mobb Deep,1995-04-25,224533,71,TRUE,m-airon,2020-01-09T18:49:44Z,"old school hiphop,east coast hiphop,hardcore hiphop,hiphop,gangsterrap",RCA Records Label,0.813,0.703,11,-5.077,0,0.268,0.125,1.26e-6,0.237,0.241,94.828,4,east
spotify:track:4RY96Asd9IefaL3X4LOLZ8,In Da Club,Get Rich Or Die Tryin',50 Cent,2003-02-06,193466,76,TRUE,warriorkid3000,2021-09-29T03:46:38Z,"old school hiphop,east coast hiphop",Shady Records,0.904,0.72,6,-2.776,0,0.348,0.259,0,0.0749,0.805,90.062,4,east
spotify:track:2jpd11oy0FGFebu6BpKSse,"4,3,2,1",Phenomenon,LL COOL J;Method Man;Redman;DMX;Cannibus,1997-01-01,256626,49,TRUE,m-airon,2022-03-27T20:37:31Z,"old school hiphop,east coast hiphop,hiphop,hardcore hiphop",Def Jam Recordings,0.68,0.764,6,-6.574,1,0.523,0.087,0,0.0978,0.789,99.309,4,east
spotify:track:6C7ZgThn6Yan5MTZdAEEFw,Mama Said Knock You Out,Mama Said Knock You Out,LL COOL J,1990-08-27,289693,63,TRUE,m-airon,2022-03-27T08:37:15Z,"old school hiphop,east coast hiphop",LL Cool J.,0.791,0.759,10,-7.378,0,0.129,0.0314,0.674,0.255,0.619,102.382,4,east
spotify:track:5gHkG9liVCQksaArA7OlYi,Crazy,God's Plan,50 Cent;DJ Whoo Kid,2006-10-10,106426,0,FALSE,m-airon,2022-04-13T11:43:36Z,"old school hiphop,east coast hiphop",BCD Music Group,0.568,0.726,6,-9.144,0,0.468,0.0179,0,0.049,0.795,94.623,4,east
spotify:track:0LvwrCJtecLr9mnS0h0k7U,Where The Hood At,The Best Of DMX,DMX,2010-01-01,287426,1,TRUE,warriorkid3000,2021-09-29T03:48:26Z,"east coast hiphop,old school hiphop,hardcore hiphop",Universal Music Group,0.494,0.943,5,-3.704,0,0.363,0.156,0,0.335,0.797,185.982,4,east
spotify:track:6bUNEbXT7HovLW6BgPCBsb,Roses,Speakerboxxx/The Love Below,Outkast,2003,369573,73,TRUE,m-airon,2022-03-27T15:33:42Z,"dirty south rap,hiphop",Arista,0.751,0.708,0,-5.653,1,0.0545,0.0482,1.85e-5,0.107,0.509,108.97,4,east
