Track URI,Track Name,Album Name,Artist_Name,Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2n7h09QrGitVul66b2D8Re,"Part II","How High","Method Man;Redman",2001-01-01,244600,60,true,m-airon,2022-03-06T00:12:51Z,"east coast hiphop,old school hiphop,hiphop,hardcore hiphop","RAL (Rush Associated Label)",0.775,0.837,10,-4.965,0,0.39,0.0383,0,0.315,0.806,95.86,4
spotify:track:094MWdspdy9amhOi8TFlIN,"Get It On The Floor","Grand Champ","DMX;Swizz Beatz",2003-01-01,262133,58,true,m-airon,2022-04-15T17:12:21Z,"east coast hiphop,old school hiphop,hardcore hiphop","RAL (Rush Associated Label)",0.812,0.794,1,-3.075,1,0.155,0.163,0,0.131,0.572,94.198,4
spotify:track:1xIxMz1sNQ4b6svH1GuTtF,"Gimme the Loot - 2005 Remaster","Ready to Die (The Remaster)","The Notorious B.I.G.",1994-09-13,285946,66,true,m-airon,2022-04-19T08:16:54Z,"old school hiphop,gangsterrap,east coast hiphop,hiphop","Bad Boy Records",0.721,0.662,7,-8.136,1,0.403,0.0888,0,0.178,0.68,94.191,4
spotify:track:2u557fu7hLTdz68Z0XwmvJ,"My Baby","Rare","50 Cent;Da Angels",2003-10-15,196920,0,true,m-airon,2019-04-05T00:10:42Z,"old school hiphop,east coast hiphop,g funk,west coast hiphop","Famous Records, Corp.",0.883,0.393,6,-10.968,1,0.343,0.295,0,0.282,0.914,95.269,4
spotify:track:4dTtYVQzlwBMpVyQ4h3wy2,"The What - 2005 Remaster","Ready to Die (The Remaster)","The Notorious B.I.G.;Method Man",1994-09-13,237480,58,true,m-airon,2022-03-27T20:36:25Z,"old school hiphop,gangsterrap,east coast hiphop,hiphop,hardcore hiphop","Bad Boy Records",0.622,0.714,7,-8.244,1,0.411,0.191,0,0.106,0.711,173.163,4
spotify:track:3UYuDTslR35thjQzaVwRMe,"Get Down","God's Son","Nas",2002-12-13,244253,64,true,m-airon,2019-04-05T00:22:01Z,"old school hiphop,east coast hiphop,hiphop","Columbia",0.835,0.718,1,-6.405,1,0.232,0.0424,0,0.258,0.507,94.387,4
spotify:track:7cFpB4ozcSwXuhqjvNbrbP,"Good Times","A Gangster And A Gentleman","Styles P",2002-01-01,211493,59,true,m-airon,2022-04-13T11:30:53Z,"east coast hiphop","Ruff Ryders Records",0.697,0.761,11,-7.647,0,0.302,0.157,0,0.789,0.666,81.728,4
spotify:track:5xXL4i9L2ZbKBtENNh8fWY,"Step into a World (Rapture's Delight)","I Got Next","KRS-One",1997-05-20,289906,54,false,m-airon,2022-04-21T22:41:42Z,"old school hiphop,east coast hiphop,hiphop,hardcore hiphop","Jive",0.803,0.806,0,-7.805,1,0.265,0.00761,0.00544,0.101,0.624,94.994,4
spotify:track:6bUNEbXT7HovLW6BgPCBsb,"Roses","Speakerboxxx/The Love Below","Outkast",2003,369573,73,true,m-airon,2022-03-27T15:33:42Z,"dirty south rap,hiphop","Arista",0.751,0.708,0,-5.653,1,0.0545,0.0482,0.0000185,0.107,0.509,108.97,4
spotify:track:0I3q5fE6wg7LIfHGngUTnV,"Ms. Jackson","Stankonia","Outkast",2000-10-31,270506,84,true,m-airon,2022-03-27T15:35:07Z,"dirty south rap,hiphop","Arista/LaFace Records",0.843,0.806,4,-5.946,0,0.269,0.143,0,0.0771,0.613,94.948,4
